,European Union Emissions Trading System (until 2018),,,, ,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market, ,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
9/5/2016,1,1.121209091,EUR,4.02, ,,,,,, 
9/6/2016,1,1.121209091,EUR,3.94, ,,,,,, 
9/7/2016,1,1.121209091,EUR,, ,,,,,, 
9/8/2016,1,1.121209091,EUR,4.02, ,,,,,, 
9/9/2016,1,1.121209091,EUR,4.07, ,,,,,, 
9/12/2016,1,1.121209091,EUR,3.94, ,,,,,, 
9/13/2016,1,1.121209091,EUR,3.97, ,,,,,, 
9/14/2016,1,1.121209091,EUR,, ,,,,,, 
9/15/2016,1,1.121209091,EUR,3.94, ,,,,,, 
9/16/2016,1,1.121209091,EUR,4.26, ,,,,,, 
9/19/2016,1,1.121209091,EUR,4.23, ,,,,,, 
9/20/2016,1,1.121209091,EUR,4.3, ,,,,,, 
9/21/2016,1,1.121209091,EUR,, ,,,,,, 
9/22/2016,1,1.121209091,EUR,4.33, ,,,,,, 
9/23/2016,1,1.121209091,EUR,4.38, ,,,,,, 
9/26/2016,1,1.121209091,EUR,4.5, ,,,,,, 
9/27/2016,1,1.121209091,EUR,4.51, ,,,,,, 
9/28/2016,1,1.121209091,EUR,4.57, ,,,,,, 
9/29/2016,1,1.121209091,EUR,5.06, ,,,,,, 
9/30/2016,1,1.121209091,EUR,5, ,,,,,, 
10/3/2016,1,1.102604762,EUR,, ,,,,,, 
10/4/2016,1,1.102604762,EUR,5.17, ,,,,,, 
10/5/2016,1,1.102604762,EUR,, ,,,,,, 
10/6/2016,1,1.102604762,EUR,5.68, ,,,,,, 
10/7/2016,1,1.102604762,EUR,5.62, ,,,,,, 
10/10/2016,1,1.102604762,EUR,5.53, ,,,,,, 
10/11/2016,1,1.102604762,EUR,5.58, ,,,,,, 
10/12/2016,1,1.102604762,EUR,, ,,,,,, 
10/13/2016,1,1.102604762,EUR,5.59, ,,,,,, 
10/14/2016,1,1.102604762,EUR,5.65, ,,,,,, 
10/17/2016,1,1.102604762,EUR,5.84, ,,,,,, 
10/18/2016,1,1.102604762,EUR,5.89, ,,,,,, 
10/19/2016,1,1.102604762,EUR,, ,,,,,, 
10/20/2016,1,1.102604762,EUR,5.7, ,,,,,, 
10/21/2016,1,1.102604762,EUR,5.58, ,,,,,, 
10/24/2016,1,1.102604762,EUR,5.92, ,,,,,, 
10/25/2016,1,1.102604762,EUR,5.78, ,,,,,, 
10/26/2016,1,1.102604762,EUR,, ,,,,,, 
10/27/2016,1,1.102604762,EUR,5.9, ,,,,,, 
10/28/2016,1,1.102604762,EUR,5.7, ,,,,,, 
10/31/2016,1,1.102604762,EUR,5.76, ,,,,,, 
11/1/2016,1,1.079895455,EUR,, ,,,,,, 
11/2/2016,1,1.079895455,EUR,, ,,,,,, 
11/3/2016,1,1.079895455,EUR,6.35, ,,,,,, 
11/4/2016,1,1.079895455,EUR,6.54, ,,,,,, 
11/7/2016,1,1.079895455,EUR,6.46, ,,,,,, 
11/8/2016,1,1.079895455,EUR,6.1, ,,,,,, 
11/9/2016,1,1.079895455,EUR,, ,,,,,, 
11/10/2016,1,1.079895455,EUR,5.95, ,,,,,, 
11/11/2016,1,1.079895455,EUR,5.85, ,,,,,, 
11/14/2016,1,1.079895455,EUR,5.54, ,,,,,, 
11/15/2016,1,1.079895455,EUR,5.55, ,,,,,, 
11/16/2016,1,1.079895455,EUR,, ,,,,,, 
11/17/2016,1,1.079895455,EUR,5.6, ,,,,,, 
11/18/2016,1,1.079895455,EUR,5.73, ,,,,,, 
11/21/2016,1,1.079895455,EUR,5.44, ,,,,,, 
11/22/2016,1,1.079895455,EUR,5.42, ,,,,,, 
11/23/2016,1,1.079895455,EUR,5.46, ,,,,,, 
11/24/2016,1,1.079895455,EUR,5.29, ,,,,,, 
11/25/2016,1,1.079895455,EUR,5.05, ,,,,,, 
11/28/2016,1,1.079895455,EUR,4.8, ,,,,,, 
11/29/2016,1,1.079895455,EUR,4.56, ,,,,,, 
11/30/2016,1,1.079895455,EUR,, ,,,,,, 
12/1/2016,1,1.054290476,EUR,4.44, ,,,,,, 
12/2/2016,1,1.054290476,EUR,4.32, ,,,,,, 
12/5/2016,1,1.054290476,EUR,4.16, ,,,,,, 
12/6/2016,1,1.054290476,EUR,4.15, ,,,,,, 
12/7/2016,1,1.054290476,EUR,, ,,,,,, 
12/8/2016,1,1.054290476,EUR,4.23, ,,,,,, 
12/9/2016,1,1.054290476,EUR,4.48, ,,,,,, 
12/12/2016,1,1.054290476,EUR,4.65, ,,,,,, 
12/13/2016,1,1.054290476,EUR,4.82, ,,,,,, 
12/14/2016,1,1.054290476,EUR,, ,,,,,, 
12/15/2016,1,1.054290476,EUR,4.96, ,,,,,, 
12/16/2016,1,1.054290476,EUR,4.59, ,,,,,, 
12/19/2016,1,1.054290476,EUR,, ,,,,,, 
12/20/2016,1,1.054290476,EUR,, ,,,,,, 
12/21/2016,1,1.054290476,EUR,, ,,,,,, 
12/22/2016,1,1.054290476,EUR,, ,,,,,, 
12/23/2016,1,1.054290476,EUR,, ,,,,,, 
12/27/2016,1,1.054290476,EUR,, ,,,,,, 
12/28/2016,1,1.054290476,EUR,, ,,,,,, 
12/29/2016,1,1.054290476,EUR,, ,,,,,, 
12/30/2016,1,1.054290476,EUR,, ,,,,,, 
1/2/2017,1,1.061440909,EUR,, ,,,,,, 
1/3/2017,1,1.061440909,EUR,, ,,,,,, 
1/4/2017,1,1.061440909,EUR,, ,,,,,, 
1/5/2017,1,1.061440909,EUR,, ,,,,,, 
1/6/2017,1,1.061440909,EUR,, ,,,,,, 
1/9/2017,1,1.061440909,EUR,5, ,,,,,, 
1/10/2017,1,1.061440909,EUR,5.6, ,,,,,, 
1/11/2017,1,1.061440909,EUR,, ,,,,,, 
1/12/2017,1,1.061440909,EUR,5.3, ,,,,,, 
1/13/2017,1,1.061440909,EUR,5.06, ,,,,,, 
1/16/2017,1,1.061440909,EUR,4.96, ,,,,,, 
1/17/2017,1,1.061440909,EUR,4.8, ,,,,,, 
1/18/2017,1,1.061440909,EUR,, ,,,,,, 
1/19/2017,1,1.061440909,EUR,4.88, ,,,,,, 
1/20/2017,1,1.061440909,EUR,5.16, ,,,,,, 
1/23/2017,1,1.061440909,EUR,5.34, ,,,,,, 
1/24/2017,1,1.061440909,EUR,5.23, ,,,,,, 
1/25/2017,1,1.061440909,EUR,, ,,,,,, 
1/26/2017,1,1.061440909,EUR,4.93, ,,,,,, 
1/27/2017,1,1.061440909,EUR,5.05, ,,,,,, 
1/30/2017,1,1.061440909,EUR,4.99, ,,,,,, 
1/31/2017,1,1.061440909,EUR,5.2, ,,,,,, 
2/1/2017,1,1.064265,EUR,, ,,,,,, 
2/2/2017,1,1.064265,EUR,5.24, ,,,,,, 
2/3/2017,1,1.064265,EUR,5.22, ,,,,,, 
2/6/2017,1,1.064265,EUR,5.08, ,,,,,, 
2/7/2017,1,1.064265,EUR,5.08, ,,,,,, 
2/8/2017,1,1.064265,EUR,, ,,,,,, 
2/9/2017,1,1.064265,EUR,5.25, ,,,,,, 
2/10/2017,1,1.064265,EUR,5.3, ,,,,,, 
2/13/2017,1,1.064265,EUR,5.07, ,,,,,, 
2/14/2017,1,1.064265,EUR,4.95, ,,,,,, 
2/15/2017,1,1.064265,EUR,, ,,,,,, 
2/16/2017,1,1.064265,EUR,4.96, ,,,,,, 
2/17/2017,1,1.064265,EUR,4.85, ,,,,,, 
2/20/2017,1,1.064265,EUR,5.05, ,,,,,, 
2/21/2017,1,1.064265,EUR,5.09, ,,,,,, 
2/22/2017,1,1.064265,EUR,, ,,,,,, 
2/23/2017,1,1.064265,EUR,5.17, ,,,,,, 
2/24/2017,1,1.064265,EUR,5.31, ,,,,,, 
2/27/2017,1,1.064265,EUR,5.28, ,,,,,, 
2/28/2017,1,1.064265,EUR,5.15, ,,,,,, 
3/1/2017,1,1.068469565,EUR,, ,,,,,, 
3/2/2017,1,1.068469565,EUR,5.74, ,,,,,, 
3/3/2017,1,1.068469565,EUR,5.55, ,,,,,, 
3/6/2017,1,1.068469565,EUR,5.47, ,,,,,, 
3/7/2017,1,1.068469565,EUR,5.43, ,,,,,, 
3/8/2017,1,1.068469565,EUR,, ,,,,,, 
3/9/2017,1,1.068469565,EUR,5.16, ,,,,,, 
3/10/2017,1,1.068469565,EUR,5.08, ,,,,,, 
3/13/2017,1,1.068469565,EUR,5.11, ,,,,,, 
3/14/2017,1,1.068469565,EUR,5.16, ,,,,,, 
3/15/2017,1,1.068469565,EUR,, ,,,,,, 
3/16/2017,1,1.068469565,EUR,5.07, ,,,,,, 
3/17/2017,1,1.068469565,EUR,5.13, ,,,,,, 
3/20/2017,1,1.068469565,EUR,5.05, ,,,,,, 
3/21/2017,1,1.068469565,EUR,4.93, ,,,,,, 
3/22/2017,1,1.068469565,EUR,, ,,,,,, 
3/23/2017,1,1.068469565,EUR,4.98, ,,,,,, 
3/24/2017,1,1.068469565,EUR,4.88, ,,,,,, 
3/27/2017,1,1.068469565,EUR,4.67, ,,,,,, 
3/28/2017,1,1.068469565,EUR,4.63, ,,,,,, 
3/29/2017,1,1.068469565,EUR,4.71, ,,,,,, 
3/30/2017,1,1.068469565,EUR,4.63, ,,,,,, 
3/31/2017,1,1.068469565,EUR,4.85, ,,,,,, 
4/3/2017,1,1.072266667,EUR,4.7, ,,,,,, 
4/4/2017,1,1.072266667,EUR,4.78, ,,,,,, 
4/5/2017,1,1.072266667,EUR,, ,,,,,, 
4/6/2017,1,1.072266667,EUR,4.86, ,,,,,, 
4/7/2017,1,1.072266667,EUR,5.06, ,,,,,, 
4/10/2017,1,1.072266667,EUR,4.84, ,,,,,, 
4/11/2017,1,1.072266667,EUR,4.77, ,,,,,, 
4/12/2017,1,1.072266667,EUR,4.84, ,,,,,, 
4/13/2017,1,1.072266667,EUR,4.93, ,,,,,, 
4/18/2017,1,1.072266667,EUR,4.85, ,,,,,, 
4/19/2017,1,1.072266667,EUR,, ,,,,,, 
4/20/2017,1,1.072266667,EUR,4.76, ,,,,,, 
4/21/2017,1,1.072266667,EUR,4.73, ,,,,,, 
4/24/2017,1,1.072266667,EUR,4.7, ,,,,,, 
4/25/2017,1,1.072266667,EUR,4.62, ,,,,,, 
4/26/2017,1,1.072266667,EUR,4.49, ,,,,,, 
4/27/2017,1,1.072266667,EUR,4.57, ,,,,,, 
4/28/2017,1,1.072266667,EUR,4.52, ,,,,,, 
5/2/2017,1,1.10575,EUR,4.48, ,,,,,, 
5/3/2017,1,1.10575,EUR,, ,,,,,, 
5/4/2017,1,1.10575,EUR,4.35, ,,,,,, 
5/5/2017,1,1.10575,EUR,4.52, ,,,,,, 
5/8/2017,1,1.10575,EUR,4.45, ,,,,,, 
5/9/2017,1,1.10575,EUR,4.37, ,,,,,, 
5/10/2017,1,1.10575,EUR,4.49, ,,,,,, 
5/11/2017,1,1.10575,EUR,4.37, ,,,,,, 
5/12/2017,1,1.10575,EUR,4.26, ,,,,,, 
5/15/2017,1,1.10575,EUR,4.41, ,,,,,, 
5/16/2017,1,1.10575,EUR,4.45, ,,,,,, 
5/17/2017,1,1.10575,EUR,, ,,,,,, 
5/18/2017,1,1.10575,EUR,4.68, ,,,,,, 
5/19/2017,1,1.10575,EUR,4.77, ,,,,,, 
5/22/2017,1,1.10575,EUR,4.87, ,,,,,, 
5/23/2017,1,1.10575,EUR,4.88, ,,,,,, 
5/24/2017,1,1.10575,EUR,4.81, ,,,,,, 
5/25/2017,1,1.10575,EUR,, ,,,,,, 
5/26/2017,1,1.10575,EUR,, ,,,,,, 
5/29/2017,1,1.10575,EUR,, ,,,,,, 
5/30/2017,1,1.10575,EUR,5.1, ,,,,,, 
5/31/2017,1,1.10575,EUR,, ,,,,,, 
6/1/2017,1,1.122945455,EUR,5.05, ,,,,,, 
6/2/2017,1,1.122945455,EUR,5.07, ,,,,,, 
6/5/2017,1,1.122945455,EUR,, ,,,,,, 
6/6/2017,1,1.122945455,EUR,5.16, ,,,,,, 
6/7/2017,1,1.122945455,EUR,4.97, ,,,,,, 
6/8/2017,1,1.122945455,EUR,4.96, ,,,,,, 
6/9/2017,1,1.122945455,EUR,4.98, ,,,,,, 
6/12/2017,1,1.122945455,EUR,5.03, ,,,,,, 
6/13/2017,1,1.122945455,EUR,4.99, ,,,,,, 
6/14/2017,1,1.122945455,EUR,, ,,,,,, 
6/15/2017,1,1.122945455,EUR,, ,,,,,, 
6/16/2017,1,1.122945455,EUR,, ,,,,,, 
6/19/2017,1,1.122945455,EUR,4.84, ,,,,,, 
6/20/2017,1,1.122945455,EUR,4.99, ,,,,,, 
6/21/2017,1,1.122945455,EUR,4.95, ,,,,,, 
6/22/2017,1,1.122945455,EUR,4.81, ,,,,,, 
6/23/2017,1,1.122945455,EUR,4.87, ,,,,,, 
6/26/2017,1,1.122945455,EUR,4.84, ,,,,,, 
6/27/2017,1,1.122945455,EUR,4.8, ,,,,,, 
6/28/2017,1,1.122945455,EUR,, ,,,,,, 
6/29/2017,1,1.122945455,EUR,5.05, ,,,,,, 
6/30/2017,1,1.122945455,EUR,5.02, ,,,,,, 
7/3/2017,1,1.151114286,EUR,4.98, ,,,,,, 
7/4/2017,1,1.151114286,EUR,5.06, ,,,,,, 
7/5/2017,1,1.151114286,EUR,5.1, ,,,,,, 
7/6/2017,1,1.151114286,EUR,5.07, ,,,,,, 
7/7/2017,1,1.151114286,EUR,5.24, ,,,,,, 
7/10/2017,1,1.151114286,EUR,5.5, ,,,,,, 
7/11/2017,1,1.151114286,EUR,5.37, ,,,,,, 
7/12/2017,1,1.151114286,EUR,, ,,,,,, 
7/13/2017,1,1.151114286,EUR,5.46, ,,,,,, 
7/14/2017,1,1.151114286,EUR,5.27, ,,,,,, 
7/17/2017,1,1.151114286,EUR,5.4, ,,,,,, 
7/18/2017,1,1.151114286,EUR,5.46, ,,,,,, 
7/19/2017,1,1.151114286,EUR,5.39, ,,,,,, 
7/20/2017,1,1.151114286,EUR,5.35, ,,,,,, 
7/21/2017,1,1.151114286,EUR,5.23, ,,,,,, 
7/24/2017,1,1.151114286,EUR,5.04, ,,,,,, 
7/25/2017,1,1.151114286,EUR,5.12, ,,,,,, 
7/26/2017,1,1.151114286,EUR,, ,,,,,, 
7/27/2017,1,1.151114286,EUR,5.2, ,,,,,, 
7/28/2017,1,1.151114286,EUR,5.06, ,,,,,, 
7/31/2017,1,1.151114286,EUR,5.23, ,,,,,, 
8/1/2017,1,1.180673913,EUR,5.6, ,,,,,, 
8/2/2017,1,1.180673913,EUR,5.29, ,,,,,, 
8/3/2017,1,1.180673913,EUR,5.38, ,,,,,, 
8/4/2017,1,1.180673913,EUR,5.33, ,,,,,, 
8/7/2017,1,1.180673913,EUR,5.24, ,,,,,, 
8/8/2017,1,1.180673913,EUR,5.26, ,,,,,, 
8/9/2017,1,1.180673913,EUR,, ,,,,,, 
8/10/2017,1,1.180673913,EUR,5.4, ,,,,,, 
8/11/2017,1,1.180673913,EUR,5.35, ,,,,,, 
8/14/2017,1,1.180673913,EUR,5.41, ,,,,,, 
8/15/2017,1,1.180673913,EUR,, ,,,,,, 
8/16/2017,1,1.180673913,EUR,5.62, ,,,,,, 
8/17/2017,1,1.180673913,EUR,5.9, ,,,,,, 
8/18/2017,1,1.180673913,EUR,5.8, ,,,,,, 
8/21/2017,1,1.180673913,EUR,5.81, ,,,,,, 
8/22/2017,1,1.180673913,EUR,5.75, ,,,,,, 
8/23/2017,1,1.180673913,EUR,, ,,,,,, 
8/24/2017,1,1.180673913,EUR,5.98, ,,,,,, 
8/25/2017,1,1.180673913,EUR,5.93, ,,,,,, 
8/28/2017,1,1.180673913,EUR,, ,,,,,, 
8/29/2017,1,1.180673913,EUR,6.07, ,,,,,, 
8/30/2017,1,1.180673913,EUR,6.02, ,,,,,, 
8/31/2017,1,1.180673913,EUR,5.91, ,,,,,, 
9/1/2017,1,1.191457143,EUR,5.88, ,,,,,, 
9/4/2017,1,1.191457143,EUR,5.8, ,,,,,, 
9/5/2017,1,1.191457143,EUR,6.04, ,,,,,, 
9/6/2017,1,1.191457143,EUR,, ,,,,,, 
9/7/2017,1,1.191457143,EUR,, ,,,,,, 
9/8/2017,1,1.191457143,EUR,6.9, ,,,,,, 
9/11/2017,1,1.191457143,EUR,6.8, ,,,,,, 
9/12/2017,1,1.191457143,EUR,6.65, ,,,,,, 
9/13/2017,1,1.191457143,EUR,6.95, ,,,,,, 
9/14/2017,1,1.191457143,EUR,7.42, ,,,,,, 
9/15/2017,1,1.191457143,EUR,6.96, ,,,,,, 
9/18/2017,1,1.191457143,EUR,6.85, ,,,,,, 
9/19/2017,1,1.191457143,EUR,6.95, ,,,,,, 
9/20/2017,1,1.191457143,EUR,, ,,,,,, 
9/21/2017,1,1.191457143,EUR,6.68, ,,,,,, 
9/22/2017,1,1.191457143,EUR,6.5, ,,,,,, 
9/25/2017,1,1.191457143,EUR,6.8, ,,,,,, 
9/26/2017,1,1.191457143,EUR,6.97, ,,,,,, 
9/27/2017,1,1.191457143,EUR,6.71, ,,,,,, 
9/28/2017,1,1.191457143,EUR,6.83, ,,,,,, 
9/29/2017,1,1.191457143,EUR,7.09, ,,,,,, 
10/2/2017,1,1.175586364,EUR,7, ,,,,,, 
10/3/2017,1,1.175586364,EUR,, ,,,,,, 
10/4/2017,1,1.175586364,EUR,, ,,,,,, 
10/5/2017,1,1.175586364,EUR,6.92, ,,,,,, 
10/6/2017,1,1.175586364,EUR,6.77, ,,,,,, 
10/9/2017,1,1.175586364,EUR,6.92, ,,,,,, 
10/10/2017,1,1.175586364,EUR,6.9, ,,,,,, 
10/11/2017,1,1.175586364,EUR,7.4, ,,,,,, 
10/12/2017,1,1.175586364,EUR,7.37, ,,,,,, 
10/13/2017,1,1.175586364,EUR,7.3, ,,,,,, 
10/16/2017,1,1.175586364,EUR,7.25, ,,,,,, 
10/17/2017,1,1.175586364,EUR,7.45, ,,,,,, 
10/18/2017,1,1.175586364,EUR,, ,,,,,, 
10/19/2017,1,1.175586364,EUR,7.86, ,,,,,, 
10/20/2017,1,1.175586364,EUR,7.56, ,,,,,, 
10/23/2017,1,1.175586364,EUR,7.43, ,,,,,, 
10/24/2017,1,1.175586364,EUR,7.41, ,,,,,, 
10/25/2017,1,1.175586364,EUR,7.34, ,,,,,, 
10/26/2017,1,1.175586364,EUR,7.46, ,,,,,, 
10/27/2017,1,1.175586364,EUR,7.25, ,,,,,, 
10/30/2017,1,1.175586364,EUR,7.15, ,,,,,, 
10/31/2017,1,1.175586364,EUR,7.11, ,,,,,, 
11/1/2017,1,1.1738,EUR,, ,,,,,, 
11/2/2017,1,1.1738,EUR,7.52, ,,,,,, 
11/3/2017,1,1.1738,EUR,, ,,,,,, 
11/6/2017,1,1.1738,EUR,7.91, ,,,,,, 
11/7/2017,1,1.1738,EUR,7.89, ,,,,,, 
11/8/2017,1,1.1738,EUR,7.51, ,,,,,, 
11/9/2017,1,1.1738,EUR,7.79, ,,,,,, 
11/10/2017,1,1.1738,EUR,7.35, ,,,,,, 
11/13/2017,1,1.1738,EUR,7.26, ,,,,,, 
11/14/2017,1,1.1738,EUR,7.26, ,,,,,, 
11/15/2017,1,1.1738,EUR,, ,,,,,, 
11/16/2017,1,1.1738,EUR,7.68, ,,,,,, 
11/17/2017,1,1.1738,EUR,7.43, ,,,,,, 
11/20/2017,1,1.1738,EUR,7.32, ,,,,,, 
11/21/2017,1,1.1738,EUR,7.51, ,,,,,, 
11/22/2017,1,1.1738,EUR,7.36, ,,,,,, 
11/23/2017,1,1.1738,EUR,7.37, ,,,,,, 
11/24/2017,1,1.1738,EUR,7.7, ,,,,,, 
11/27/2017,1,1.1738,EUR,7.69, ,,,,,, 
11/28/2017,1,1.1738,EUR,7.59, ,,,,,, 
11/29/2017,1,1.1738,EUR,, ,,,,,, 
11/30/2017,1,1.1738,EUR,7.6, ,,,,,, 
12/1/2017,1,1.183621053,EUR,7.5, ,,,,,, 
12/4/2017,1,1.183621053,EUR,7.63, ,,,,,, 
12/5/2017,1,1.183621053,EUR,7.49, ,,,,,, 
12/6/2017,1,1.183621053,EUR,7.24, ,,,,,, 
12/7/2017,1,1.183621053,EUR,7.23, ,,,,,, 
12/8/2017,1,1.183621053,EUR,7.24, ,,,,,, 
12/11/2017,1,1.183621053,EUR,7.1, ,,,,,, 
12/12/2017,1,1.183621053,EUR,7.37, ,,,,,, 
12/13/2017,1,1.183621053,EUR,, ,,,,,, 
12/14/2017,1,1.183621053,EUR,6.96, ,,,,,, 
12/15/2017,1,1.183621053,EUR,7.07, ,,,,,, 
12/18/2017,1,1.183621053,EUR,, ,,,,,, 
12/19/2017,1,1.183621053,EUR,, ,,,,,, 
12/20/2017,1,1.183621053,EUR,, ,,,,,, 
12/21/2017,1,1.183621053,EUR,, ,,,,,, 
12/22/2017,1,1.183621053,EUR,, ,,,,,, 
12/27/2017,1,1.183621053,EUR,, ,,,,,, 
12/28/2017,1,1.183621053,EUR,, ,,,,,, 
12/29/2017,1,1.183621053,EUR,, ,,,,,, 
1/2/2018,1,1.21995,EUR,, ,,,,,, 
1/3/2018,1,1.21995,EUR,, ,,,,,, 
1/4/2018,1,1.21995,EUR,, ,,,,,, 
1/5/2018,1,1.21995,EUR,, ,,,,,, 
1/8/2018,1,1.21995,EUR,7.83, ,,,,,, 
1/9/2018,1,1.21995,EUR,7.68, ,,,,,, 
1/10/2018,1,1.21995,EUR,, ,,,,,, 
1/11/2018,1,1.21995,EUR,7.89, ,,,,,, 
1/12/2018,1,1.21995,EUR,7.79, ,,,,,, 
1/15/2018,1,1.21995,EUR,7.72, ,,,,,, 
1/16/2018,1,1.21995,EUR,7.77, ,,,,,, 
1/17/2018,1,1.21995,EUR,7.99, ,,,,,, 
1/18/2018,1,1.21995,EUR,8.26, ,,,,,, 
1/19/2018,1,1.21995,EUR,8.6, ,,,,,, 
1/22/2018,1,1.21995,EUR,8.7, ,,,,,, 
1/23/2018,1,1.21995,EUR,8.88, ,,,,,, 
1/24/2018,1,1.21995,EUR,, ,,,,,, 
1/25/2018,1,1.21995,EUR,9.34, ,,,,,, 
1/26/2018,1,1.21995,EUR,9.02, ,,,,,, 
1/29/2018,1,1.21995,EUR,9.06, ,,,,,, 
1/30/2018,1,1.21995,EUR,8.86, ,,,,,, 
1/31/2018,1,1.21995,EUR,8.78, ,,,,,, 
2/1/2018,1,1.23478,EUR,9.37, ,,,,,, 
2/2/2018,1,1.23478,EUR,9.04, ,,,,,, 
2/5/2018,1,1.23478,EUR,8.66, ,,,,,, 
2/6/2018,1,1.23478,EUR,8.84, ,,,,,, 
2/7/2018,1,1.23478,EUR,, ,,,,,, 
2/8/2018,1,1.23478,EUR,8.93, ,,,,,, 
2/9/2018,1,1.23478,EUR,8.97, ,,,,,, 
2/12/2018,1,1.23478,EUR,9.08, ,,,,,, 
2/13/2018,1,1.23478,EUR,9.53, ,,,,,, 
2/14/2018,1,1.23478,EUR,9.88, ,,,,,, 
2/15/2018,1,1.23478,EUR,9.64, ,,,,,, 
2/16/2018,1,1.23478,EUR,9.53, ,,,,,, 
2/19/2018,1,1.23478,EUR,9.58, ,,,,,, 
2/20/2018,1,1.23478,EUR,9.7, ,,,,,, 
2/21/2018,1,1.23478,EUR,, ,,,,,, 
2/22/2018,1,1.23478,EUR,9.56, ,,,,,, 
2/23/2018,1,1.23478,EUR,9.68, ,,,,,, 
2/26/2018,1,1.23478,EUR,9.56, ,,,,,, 
2/27/2018,1,1.23478,EUR,9.54, ,,,,,, 
2/28/2018,1,1.23478,EUR,9.99, ,,,,,, 
3/1/2018,1,1.233619048,EUR,9.92, ,,,,,, 
3/2/2018,1,1.233619048,EUR,9.89, ,,,,,, 
3/5/2018,1,1.233619048,EUR,10.05, ,,,,,, 
3/6/2018,1,1.233619048,EUR,10.28, ,,,,,, 
3/7/2018,1,1.233619048,EUR,, ,,,,,, 
3/8/2018,1,1.233619048,EUR,10.77, ,,,,,, 
3/9/2018,1,1.233619048,EUR,11.1, ,,,,,, 
3/12/2018,1,1.233619048,EUR,11.32, ,,,,,, 
3/13/2018,1,1.233619048,EUR,11.03, ,,,,,, 
3/14/2018,1,1.233619048,EUR,11.25, ,,,,,, 
3/15/2018,1,1.233619048,EUR,11.09, ,,,,,, 
3/16/2018,1,1.233619048,EUR,10.97, ,,,,,, 
3/19/2018,1,1.233619048,EUR,10.96, ,,,,,, 
3/20/2018,1,1.233619048,EUR,11.17, ,,,,,, 
3/21/2018,1,1.233619048,EUR,, ,,,,,, 
3/22/2018,1,1.233619048,EUR,12.54, ,,,,,, 
3/23/2018,1,1.233619048,EUR,12.37, ,,,,,, 
3/26/2018,1,1.233619048,EUR,12.8, ,,,,,, 
3/27/2018,1,1.233619048,EUR,13.26, ,,,,,, 
3/28/2018,1,1.233619048,EUR,14.05, ,,,,,, 
3/29/2018,1,1.233619048,EUR,, ,,,,,, 
4/3/2018,1,1.22763,EUR,12.9, ,,,,,, 
4/4/2018,1,1.22763,EUR,, ,,,,,, 
4/5/2018,1,1.22763,EUR,12.65, ,,,,,, 
4/6/2018,1,1.22763,EUR,12.68, ,,,,,, 
4/9/2018,1,1.22763,EUR,12.96, ,,,,,, 
4/10/2018,1,1.22763,EUR,13.1, ,,,,,, 
4/11/2018,1,1.22763,EUR,13.55, ,,,,,, 
4/12/2018,1,1.22763,EUR,13.15, ,,,,,, 
4/13/2018,1,1.22763,EUR,13.8, ,,,,,, 
4/16/2018,1,1.22763,EUR,13.84, ,,,,,, 
4/17/2018,1,1.22763,EUR,13.82, ,,,,,, 
4/18/2018,1,1.22763,EUR,, ,,,,,, 
4/19/2018,1,1.22763,EUR,13.99, ,,,,,, 
4/20/2018,1,1.22763,EUR,13.05, ,,,,,, 
4/23/2018,1,1.22763,EUR,12.75, ,,,,,, 
4/24/2018,1,1.22763,EUR,12.73, ,,,,,, 
4/25/2018,1,1.22763,EUR,13.09, ,,,,,, 
4/26/2018,1,1.22763,EUR,13.39, ,,,,,, 
4/27/2018,1,1.22763,EUR,13.28, ,,,,,, 
4/30/2018,1,1.22763,EUR,13.35, ,,,,,, 
5/2/2018,1,1.181222727,EUR,, ,,,,,, 
5/3/2018,1,1.181222727,EUR,12.77, ,,,,,, 
5/4/2018,1,1.181222727,EUR,12.78, ,,,,,, 
5/7/2018,1,1.181222727,EUR,, ,,,,,, 
5/8/2018,1,1.181222727,EUR,13.51, ,,,,,, 
5/9/2018,1,1.181222727,EUR,13.92, ,,,,,, 
5/10/2018,1,1.181222727,EUR,, ,,,,,, 
5/11/2018,1,1.181222727,EUR,, ,,,,,, 
5/14/2018,1,1.181222727,EUR,14.2, ,,,,,, 
5/15/2018,1,1.181222727,EUR,14.7, ,,,,,, 
5/16/2018,1,1.181222727,EUR,, ,,,,,, 
5/17/2018,1,1.181222727,EUR,15.05, ,,,,,, 
5/18/2018,1,1.181222727,EUR,15.2, ,,,,,, 
5/21/2018,1,1.181222727,EUR,, ,,,,,, 
5/22/2018,1,1.181222727,EUR,15.88, ,,,,,, 
5/23/2018,1,1.181222727,EUR,15.74, ,,,,,, 
5/24/2018,1,1.181222727,EUR,16.23, ,,,,,, 
5/25/2018,1,1.181222727,EUR,15.89, ,,,,,, 
5/28/2018,1,1.181222727,EUR,, ,,,,,, 
5/29/2018,1,1.181222727,EUR,16.25, ,,,,,, 
5/30/2018,1,1.181222727,EUR,, ,,,,,, 
5/31/2018,1,1.181222727,EUR,15.4, ,,,,,, 
6/1/2018,1,1.167828571,EUR,14.9, ,,,,,, 
6/4/2018,1,1.167828571,EUR,15.28, ,,,,,, 
